,z-depth,object,cell_temperature,cell_pressure,cell_fO2,cell_conc,object_conc,cell_moles,object_moles,object_temperature,D,cell_bulk_moles,cell_bulk_conc
0,601.0,A6992,2000.027053205,0.0008437499999999999,-1.0999999999999999,1.0351885083440495e-08,1.1303515401503127e-07,2.2360071780231467,2.997901261653693e-12,2000.0,10.919282150441294,2.236007178026145,1.2338703909847176e-07
1,1200.6999250335875,A6992,2000.0450886749998,0.00140625,-1.0999999999999999,1.035188508344743e-08,1.1306883555150892e-07,2.2360071780246447,2.9987945582708442e-12,2000.0,10.922535812564702,2.2360071780276436,1.2342072063495635e-07
2,1800.399850067175,A6992,2000.063124145,0.00196875,-1.0999999999999999,1.0351885083454367e-08,1.1310252651649388e-07,2.236007178026143,2.9996881049494407e-12,2000.0,10.925790385489114,2.236007178029143,1.2345441159994825e-07
3,2400.0997751007626,A6992,2000.063124145,0.00196875,-1.0999999999999999,1.0351885083454367e-08,1.1310252651649388e-07,2.236007178026143,2.9996881049494407e-12,2000.0,10.925790385489114,2.236007178029143,1.2345441159994825e-07
4,2999.79970013435,A6992,2000.0811596149997,0.0025312499999999996,-1.0999999999999999,1.0351885083454367e-08,1.1313622691237417e-07,2.236007178026143,3.0005819017528163e-12,2000.0,10.929045869452526,2.2360071780291437,1.2348811199582853e-07
5,3599.4996251679377,A6992,2000.0991950849998,0.0030937499999999997,-1.0999999999999999,1.0351885083454367e-08,1.1316993674168968e-07,2.236007178026143,3.0014759487483347e-12,2000.0,10.932302264692982,2.2360071780291446,1.2352182182514405e-07
6,4199.199550201525,A6992,2000.1172305549999,0.0036562499999999998,-1.0999999999999999,1.0351885083454367e-08,1.1320365600690556e-07,2.236007178026143,3.0023702460013762e-12,2000.0,10.935559571448618,2.2360071780291455,1.2355554109035994e-07
7,4798.899475235113,A6992,2000.1352660250002,0.00421875,-1.0999999999999999,1.0351885083454367e-08,1.1323738471048711e-07,2.236007178026143,3.003264793577324e-12,2000.0,10.938817789957579,2.2360071780291464,1.2358926979394148e-07
8,5398.5994002687,A6992,2000.153301495,0.004781249999999999,-1.0999999999999999,1.0351885083454367e-08,1.1327112285490072e-07,2.236007178026143,3.0041595915415925e-12,2000.0,10.942076920458119,2.2360071780291473,1.2362300793835508e-07
9,5998.299325302288,A6992,2000.171336965,0.005343749999999999,-1.0999999999999999,1.0351885083454367e-08,1.1330487044261295e-07,2.236007178026143,3.0050546399595988e-12,2000.0,10.945336963188517,2.236007178029148,1.2365675552606733e-07
10,6597.999250335875,A6992,2000.1893724350002,0.005906249999999999,-1.0999999999999999,1.0351885083454367e-08,1.1333862747609103e-07,2.236007178026143,3.005949938896779e-12,2000.0,10.94859791838711,2.236007178029149,1.236905125595454e-07
11,7197.699175369463,A6992,2000.2074079049999,0.006468749999999999,-1.0999999999999999,1.0351885083454367e-08,1.1337239395780313e-07,2.236007178026143,3.0068454884185926e-12,2000.0,10.951859786292315,2.23600717802915,1.237242790412575e-07
12,7797.39910040305,A6992,2000.2254433749997,0.007031249999999999,-1.0999999999999999,1.0351885083454367e-08,1.1340616989021758e-07,2.236007178026143,3.007741288590505e-12,2000.0,10.955122567142578,2.236007178029151,1.2375805497367194e-07
13,8397.099025436639,A6992,2000.243478845,0.00759375,-1.0999999999999999,1.0351885083454367e-08,1.1343995527580341e-07,2.236007178026143,3.0086373394779993e-12,2000.0,10.958386261176416,2.2360071780291517,1.2379184035925778e-07
14,8996.798950470227,A6992,2000.261514315,0.00815625,-1.0999999999999999,1.0351885083454367e-08,1.134737501170305e-07,2.236007178026143,3.009533641146581e-12,2000.0,10.961650868632413,2.2360071780291526,1.2382563520048488e-07
15,9596.498875503816,A6992,2000.279549785,0.008718749999999999,-1.0999999999999999,1.0351885083454367e-08,1.1350755441636909e-07,2.236007178026143,3.010430193661766e-12,2000.0,10.964916389749206,2.2360071780291535,1.2385943949982345e-07
16,10196.198800537404,A6992,2000.297585255,0.00928125,-1.0999999999999999,1.0351885083454367e-08,1.1354136817629014e-07,2.236007178026143,3.011326997089088e-12,2000.0,10.968182824765478,2.2360071780291544,1.238932532597445e-07
17,10795.898725570993,A6992,2000.3156207250001,0.009843749999999998,-1.0999999999999999,1.0351885083454367e-08,1.135751913992651e-07,2.236007178026143,3.012224051494095e-12,2000.0,10.971450173919983,2.2360071780291553,1.2392707648271948e-07
18,11395.598650604581,A6992,2000.333656195,0.010406249999999999,-1.0999999999999999,1.0351885083454367e-08,1.1360902408776601e-07,2.236007178026143,3.01312135694235e-12,2000.0,10.974718437451521,2.236007178029156,1.2396090917122037e-07
19,11995.29857563817,A6992,2000.3516916649999,0.01096875,-1.0999999999999999,1.0351885083454367e-08,1.1364286624426568e-07,2.236007178026143,3.014018913499436e-12,2000.0,10.97798761559896,2.236007178029157,1.2399475132772005e-07
20,12594.998500671758,A6992,2000.3697271350002,0.01153125,-1.0999999999999999,1.0351885083454367e-08,1.1367671787123724e-07,2.236007178026143,3.014916721230946e-12,2000.0,10.98125770860122,2.236007178029158,1.2402860295469162e-07
21,13194.698425705346,A6992,2000.3877626049998,0.012093749999999999,-1.0999999999999999,1.0351885083454367e-08,1.1371057897115481e-07,2.236007178026143,3.015814780202497e-12,2000.0,10.984528716697291,2.236007178029159,1.2406246405460917e-07
22,13794.398350738935,A6992,2000.405798075,0.01265625,-1.0999999999999999,1.0351885083454367e-08,1.1374444954649261e-07,2.236007178026143,3.0167130904797107e-12,2000.0,10.987800640126187,2.2360071780291597,1.2409633462994697e-07
