,z-depth,object,cell_temperature,cell_pressure,cell_fO2,cell_conc,object_conc,cell_moles,object_moles,object_temperature,D,cell_bulk_moles,cell_bulk_conc
0,401.0,A10464,2000.018,0.0005625000000000001,-2.4499999999999997,1.2499999997784544e-05,0.005346128835214796,799.9999998582108,1.4178922052799924e-07,2000.0,427.69030689298603,800.0,0.00535862883521258
1,801.0003828247418,A10464,2000.03,0.0009375000000000001,-2.4499999999999997,1.249999999889183e-05,0.005347190922962958,799.9999999290771,1.4181738905864746e-07,2000.0,427.77527387496036,800.0000000708945,0.00535969092296185
2,1201.0007656494836,A10464,2000.0420000000001,0.0013125,-2.4499999999999997,1.249999999999934e-05,0.005348253208962114,799.9999999999577,1.418455628472786e-07,2000.0,427.8602567169915,800.0000001418033,0.0053607532089621135
3,1601.0011484742254,A10464,2000.054,0.0016875,-2.4499999999999997,1.249999999999934e-05,0.0053493156927727666,799.9999999999577,1.4187374188223633e-07,2000.0,427.94525542184385,800.0000001418315,0.005361815692772766
4,2001.0015312989672,A10464,2000.0659999999998,0.0020625,-2.4499999999999997,1.249999999999934e-05,0.0053503783749032354,799.9999999999577,1.4190192617700224e-07,2000.0,428.03026999228143,800.0000001418597,0.005362878374903235
5,2401.001914123709,A10464,2000.0780000000002,0.0024375,-2.4499999999999997,1.249999999999934e-05,0.005351441255388072,799.9999999999577,1.419301157324927e-07,2000.0,428.11530043106825,800.0000001418879,0.0053639412553880715
6,2801.0022969484507,A10464,2000.0900000000001,0.0028125,-2.4499999999999997,1.249999999999934e-05,0.005352504334261861,799.9999999999577,1.4195831054962495e-07,2000.0,428.2003467409714,800.0000001419161,0.005365004334261861
7,3201.0026797731925,A10464,2000.1019999999999,0.0031875,-2.4499999999999997,1.249999999999934e-05,0.0053535676115591645,799.9999999999577,1.4198651062931563e-07,2000.0,428.2854089247557,800.0000001419443,0.005366067611559164
8,3601.0030625979343,A10464,2000.114,0.0035624999999999997,-2.4499999999999997,1.249999999999934e-05,0.005354631087314548,799.9999999999577,1.4201471597248153e-07,2000.0,428.3704869851865,800.0000001419725,0.005367131087314548
9,4001.003445422676,A10464,2000.126,0.0039375,-2.4499999999999997,1.249999999999934e-05,0.005355694761562623,799.9999999999577,1.4204292658004056e-07,2000.0,428.4555809250324,800.0000001420007,0.005368194761562623
10,4401.003828247418,A10464,2000.138,0.0043125,-2.4499999999999997,1.249999999999934e-05,0.00535675863433795,799.9999999999577,1.4207114245290933e-07,2000.0,428.54069074705853,800.0000001420289,0.005369258634337949
11,4801.00421107216,A10464,2000.15,0.0046875,-2.4499999999999997,1.249999999999934e-05,0.005357822705675136,799.9999999999577,1.4209936359200573e-07,2000.0,428.6258164540335,800.000000142057,0.005370322705675136
12,5201.0045938969015,A10464,2000.162,0.0050625,-2.4499999999999997,1.249999999999934e-05,0.005358886975608788,799.9999999999577,1.4212758999824755e-07,2000.0,428.71095804872573,800.0000001420854,0.005371386975608788
13,5601.004976721643,A10464,2000.174,0.0054375,-2.4499999999999997,1.249999999999934e-05,0.005359951444173494,799.9999999999577,1.4215582167255216e-07,2000.0,428.79611553390225,800.0000001421135,0.0053724514441734934
14,6001.005359546385,A10464,2000.1860000000001,0.005812499999999999,-2.4499999999999997,1.249999999999934e-05,0.005361016111403879,799.9999999999577,1.4218405861583784e-07,2000.0,428.881288912333,800.0000001421417,0.005373516111403878
15,6401.005742371127,A10464,2000.198,0.006187499999999999,-2.4499999999999997,1.249999999999934e-05,0.005362080977334556,799.9999999999577,1.4221230082902265e-07,2000.0,428.9664781867872,800.00000014217,0.005374580977334556
16,6801.006125195869,A10464,2000.21,0.0065625,-2.4499999999999997,1.249999999999934e-05,0.005363146042000145,799.9999999999577,1.4224054831302472e-07,2000.0,429.0516833600343,800.0000001421982,0.005375646042000144
17,7201.00650802061,A10464,2000.2219999999998,0.0069375,-2.4499999999999997,1.2499999999999338e-05,0.005364211305435272,799.9999999999576,1.4226880106876243e-07,2000.0,429.1369044348445,800.0000001422264,0.005376711305435272
18,7601.006890845352,A10464,2000.2340000000002,0.0073124999999999996,-2.4499999999999997,1.2499999999999338e-05,0.005365276767674578,799.9999999999576,1.4229705909715452e-07,2000.0,429.222141413989,800.0000001422546,0.0053777767676745775
19,8001.007273670094,A10464,2000.246,0.0076875,-2.4499999999999997,1.2499999999999338e-05,0.005366342428752701,799.9999999999576,1.4232532239911962e-07,2000.0,429.3073943002388,800.0000001422829,0.005378842428752701
20,8401.007656494836,A10464,2000.2579999999998,0.0080625,-2.4499999999999997,1.2499999999999338e-05,0.0053674082887042755,799.9999999999576,1.4235359097557634e-07,2000.0,429.3926630963648,800.0000001423111,0.005379908288704275
21,8801.008039319579,A10464,2000.2699999999998,0.0084375,-2.4499999999999997,1.2499999999999338e-05,0.0053684743475639635,799.9999999999576,1.4238186482744398e-07,2000.0,429.47794780513976,800.0000001423394,0.005380974347563963
22,9201.008422144321,A10464,2000.2820000000002,0.008812500000000001,-2.4499999999999997,1.2499999999999338e-05,0.005369540605366404,799.9999999999576,1.4241014395564118e-07,2000.0,429.563248429335,800.0000001423678,0.005382040605366403
23,9601.008804969064,A10464,2000.2939999999999,0.009187500000000001,-2.4499999999999997,1.2499999999999338e-05,0.005370607062146285,799.9999999999576,1.4243842836108801e-07,2000.0,429.6485649717255,800.0000001423961,0.0053831070621462845
24,10001.009187793807,A10464,2000.3059999999998,0.0095625,-2.4499999999999997,1.2499999999999338e-05,0.005371673717938246,799.9999999999576,1.4246671804470313e-07,2000.0,429.73389743508244,800.0000001424244,0.005384173717938245
