,z-depth,object,cell_temperature,cell_pressure,cell_fO2,cell_conc,object_conc,cell_moles,object_moles,object_temperature,D,cell_bulk_moles,cell_bulk_conc
0,401.0,A10464,2000.018,0.0005625000000000001,-1.0999999999999999,1.2499999999943444e-05,0.00013647070044204695,799.9999999963804,3.6194552800765927e-09,2000.0,10.91765603541315,799.9999999999999,0.00014897070044199038
1,801.0003828247418,A10464,2000.03,0.0009375000000000001,-1.0999999999999999,1.2499999999971713e-05,0.00013649781235805164,799.9999999981897,3.6201743382130155e-09,2000.0,10.919824988668841,800.0000000018098,0.00014899781235802335
2,1201.0007656494836,A10464,2000.0420000000001,0.0013125,-1.0999999999999999,1.2499999999999984e-05,0.000136524929334805,799.999999999999,3.620893530569849e-09,2000.0,10.921994346784414,800.0000000036199,0.00014902492933480498
3,1601.0011484742254,A10464,2000.054,0.0016875,-1.0999999999999999,1.2499999999999984e-05,0.00013655205137288011,799.999999999999,3.6216128571622926e-09,2000.0,10.924164109830421,800.0000000036206,0.0001490520513728801
4,2001.0015312989672,A10464,2000.0659999999998,0.0020625,-1.0999999999999999,1.2499999999999984e-05,0.00013657917847346773,799.999999999999,3.622332318021928e-09,2000.0,10.926334277877432,800.0000000036213,0.0001490791784734677
5,2401.001914123709,A10464,2000.0780000000002,0.0024375,-1.0999999999999999,1.2499999999999984e-05,0.00013660631063744995,799.999999999999,3.6230519131721486e-09,2000.0,10.928504850996008,800.0000000036221,0.00014910631063744993
6,2801.0022969484507,A10464,2000.0900000000001,0.0028125,-1.0999999999999999,1.2499999999999984e-05,0.00013663344786570935,799.999999999999,3.6237716426363636e-09,2000.0,10.930675829256764,800.0000000036227,0.00014913344786570933
7,3201.0026797731925,A10464,2000.1019999999999,0.0031875,-1.0999999999999999,1.2499999999999984e-05,0.0001366605901591285,799.999999999999,3.6244915064379788e-09,2000.0,10.932847212730293,800.0000000036234,0.00014916059015912848
8,3601.0030625979343,A10464,2000.114,0.0035624999999999997,-1.0999999999999999,1.2499999999999984e-05,0.0001366877375185898,799.999999999999,3.6252115046003974e-09,2000.0,10.935019001487197,800.0000000036242,0.00014918773751858977
9,4001.003445422676,A10464,2000.126,0.0039375,-1.0999999999999999,1.2499999999999984e-05,0.00013671488994497635,799.999999999999,3.6259316371470425e-09,2000.0,10.937191195598121,800.0000000036249,0.00014921488994497633
10,4401.003828247418,A10464,2000.138,0.0043125,-1.0999999999999999,1.2499999999999984e-05,0.00013674204743917095,799.999999999999,3.626651904101325e-09,2000.0,10.939363795133687,800.0000000036256,0.00014924204743917092
11,4801.00421107216,A10464,2000.15,0.0046875,-1.0999999999999999,1.2499999999999984e-05,0.00013676921000205648,799.999999999999,3.627372305486663e-09,2000.0,10.941536800164531,800.0000000036264,0.00014926921000205646
12,5201.0045938969015,A10464,2000.162,0.0050625,-1.0999999999999999,1.2499999999999984e-05,0.00013679637763451658,799.999999999999,3.6280928413264907e-09,2000.0,10.943710210761338,800.0000000036271,0.00014929637763451655
13,5601.004976721643,A10464,2000.174,0.0054375,-1.0999999999999999,1.2499999999999984e-05,0.00013682355033743432,799.999999999999,3.6288135116442292e-09,2000.0,10.94588402699476,800.0000000036277,0.0001493235503374343
14,6001.005359546385,A10464,2000.1860000000001,0.005812499999999999,-1.0999999999999999,1.2499999999999984e-05,0.0001368507281116934,799.999999999999,3.6295343164633163e-09,2000.0,10.948058248935487,800.0000000036285,0.00014935072811169339
15,6401.005742371127,A10464,2000.198,0.006187499999999999,-1.0999999999999999,1.2499999999999984e-05,0.00013687791095817736,799.999999999999,3.6302552558071842e-09,2000.0,10.950232876654203,800.0000000036292,0.00014937791095817734
16,6801.006125195869,A10464,2000.21,0.0065625,-1.0999999999999999,1.2499999999999984e-05,0.00013690509887777006,799.999999999999,3.6309763296992746e-09,2000.0,10.952407910221616,800.0000000036299,0.00014940509887777004
17,7201.00650802061,A10464,2000.2219999999998,0.0069375,-1.0999999999999999,1.2499999999999984e-05,0.0001369322918713554,799.999999999999,3.631697538163031e-09,2000.0,10.954583349708443,800.0000000036307,0.0001494322918713554
18,7601.006890845352,A10464,2000.2340000000002,0.0073124999999999996,-1.0999999999999999,1.2499999999999984e-05,0.00013695948993981742,799.999999999999,3.6324188812218993e-09,2000.0,10.956759195185407,800.0000000036314,0.0001494594899398174
19,8001.007273670094,A10464,2000.246,0.0076875,-1.0999999999999999,1.2499999999999984e-05,0.0001369866930840405,799.999999999999,3.6331403588993345e-09,2000.0,10.958935446723252,800.0000000036321,0.0001494866930840405
20,8401.007656494836,A10464,2000.2579999999998,0.0080625,-1.0999999999999999,1.2499999999999984e-05,0.00013701390130490895,799.999999999999,3.6338619712187907e-09,2000.0,10.961112104392729,800.0000000036329,0.00014951390130490892
21,8801.008039319579,A10464,2000.2699999999998,0.0084375,-1.0999999999999999,1.2499999999999984e-05,0.00013704111460330733,799.999999999999,3.634583718203728e-09,2000.0,10.9632891682646,800.0000000036335,0.0001495411146033073
22,9201.008422144321,A10464,2000.2820000000002,0.008812500000000001,-1.0999999999999999,1.2499999999999984e-05,0.00013706833298012008,799.999999999999,3.6353055998776027e-09,2000.0,10.96546663840962,800.0000000036342,0.00014956833298012005
23,9601.008804969064,A10464,2000.2939999999999,0.009187500000000001,-1.0999999999999999,1.2499999999999984e-05,0.00013709555643623235,799.999999999999,3.636027616263892e-09,2000.0,10.967644514898602,800.000000003635,0.00014959555643623233
